x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];
1.9070479e-10;-4.0916576e-08;1.9070479e-09;-4.3441773e-08;5.339734e-09;-4.4535307e-08;
3.8140957e-10;-4.0916576e-08;2.0977527e-09;-4.3441773e-08;5.5304388e-09;-4.4535307e-08;
5.7211436e-10;-4.0916576e-08;2.2884574e-09;-4.3441773e-08;5.7211436e-09;-4.4535307e-08;
7.6281915e-10;-4.0916576e-08;2.4791622e-09;-4.3441773e-08;5.9118484e-09;-4.4535307e-08;
9.5352394e-10;-4.0916576e-08;2.669867e-09;-4.3441773e-08;6.1025532e-09;-4.4535307e-08;
1.1442287e-09;-4.0916576e-08;2.8605718e-09;-4.3441773e-08;6.293258e-09;-4.4535307e-08;
;;3.0512766e-09;-4.3441773e-08;;;
;;3.2419814e-09;-4.3441773e-08;;;
;;3.4326862e-09;-4.3441773e-08;;;
;;3.623391e-09;-4.3441773e-08;;;
;;3.8140957e-09;-4.3441773e-08;;;
;;4.0048005e-09;-4.3441773e-08;;;
;;4.1955053e-09;-4.3441773e-08;;;
