x;y;y;y;
[m];[m];[m];[m];
0;1.1306987e-09;;;
1.9282088e-10;1.1306987e-09;;;
3.8564175e-10;1.1306987e-09;;;
7.7128351e-10;;1.5996255e-09;;
9.6410438e-10;;1.5996255e-09;;
1.1569253e-09;;1.5996255e-09;;
1.3497461e-09;;1.5996255e-09;;
1.7353879e-09;;;8.4482588e-10;
1.9282088e-09;;;8.4482588e-10;
2.1210296e-09;;;8.4482588e-10;
