x;y;y;y;
[m];[m];[m];[m];
0;1.2137328e-09;;;
1.9171446e-10;1.2137328e-09;;;
7.6685783e-10;;1.4553076e-09;;
9.5857229e-10;;1.4553076e-09;;
1.1502868e-09;;1.4553076e-09;;
1.5337157e-09;;;6.6137024e-10;
1.7254301e-09;;;6.6137024e-10;
1.9171446e-09;;;6.6137024e-10;
