x;y;y;y;
[m];[m];[m];[m];
0;1.1326369e-09;;;
2.0824746e-10;1.1326369e-09;;;
4.1649492e-10;1.1326369e-09;;;
8.3298983e-10;;1.4346926e-09;;
1.0412373e-09;;1.4346926e-09;;
1.2494848e-09;;1.4346926e-09;;
1.6659797e-09;;;8.2851149e-10;
1.8742271e-09;;;8.2851149e-10;
2.0824746e-09;;;8.2851149e-10;
