x;y;y;y;
[m];[m];[m];[m];
0;1.126311e-09;;;
1.9973134e-10;1.126311e-09;;;
3.9946267e-10;1.126311e-09;;;
5.9919401e-10;;1.3672239e-09;;
7.9892535e-10;;1.3672239e-09;;
9.9865668e-10;;1.3672239e-09;;
1.198388e-09;;1.3672239e-09;;
1.5978507e-09;;;7.0932914e-10;
1.797582e-09;;;7.0932914e-10;
1.9973134e-09;;;7.0932914e-10;
