x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];
0;-4.160652e-08;2.12855e-09;-4.3557965e-08;5.2246227e-09;-4.5060692e-08;
1.9350454e-10;-4.160652e-08;2.3220545e-09;-4.3557965e-08;5.4181272e-09;-4.5060692e-08;
3.8700909e-10;-4.160652e-08;2.5155591e-09;-4.3557965e-08;5.6116318e-09;-4.5060692e-08;
5.8051363e-10;-4.160652e-08;2.7090636e-09;-4.3557965e-08;5.8051363e-09;-4.5060692e-08;
7.7401818e-10;-4.160652e-08;2.9025682e-09;-4.3557965e-08;5.9986409e-09;-4.5060692e-08;
9.6752272e-10;-4.160652e-08;3.0960727e-09;-4.3557965e-08;;;
1.1610273e-09;-4.160652e-08;3.2895773e-09;-4.3557965e-08;;;
1.3545318e-09;-4.160652e-08;3.4830818e-09;-4.3557965e-08;;;
;;3.6765863e-09;-4.3557965e-08;;;
;;3.8700909e-09;-4.3557965e-08;;;
;;4.0635954e-09;-4.3557965e-08;;;
;;4.2571e-09;-4.3557965e-08;;;
