x;y;y;y;
[m];[m];[m];[m];
0;1.2105667e-09;;;
2.0285328e-10;1.2105667e-09;;;
4.0570656e-10;1.2105667e-09;;;
6.0855985e-10;;1.3574555e-09;;
8.1141313e-10;;1.3574555e-09;;
1.0142664e-09;;1.3574555e-09;;
1.6228263e-09;;;8.4632432e-10;
1.8256795e-09;;;8.4632432e-10;
2.0285328e-09;;;8.4632432e-10;
