x;y;x;y;x;y;
[m];[m];[m];[m];[m];[m];
1.9595037e-10;-4.1835038e-08;2.1554541e-09;-4.3542846e-08;5.2906601e-09;-4.444647e-08;
3.9190075e-10;-4.1835038e-08;2.3514045e-09;-4.3542846e-08;5.4866105e-09;-4.444647e-08;
5.8785112e-10;-4.1835038e-08;2.5473549e-09;-4.3542846e-08;5.6825608e-09;-4.444647e-08;
7.8380149e-10;-4.1835038e-08;2.7433052e-09;-4.3542846e-08;5.8785112e-09;-4.444647e-08;
9.7975187e-10;-4.1835038e-08;2.9392556e-09;-4.3542846e-08;6.0744616e-09;-4.444647e-08;
1.1757022e-09;-4.1835038e-08;3.135206e-09;-4.3542846e-08;6.270412e-09;-4.444647e-08;
;;3.3311563e-09;-4.3542846e-08;6.4663623e-09;-4.444647e-08;
;;3.5271067e-09;-4.3542846e-08;;;
;;3.7230571e-09;-4.3542846e-08;;;
;;3.9190075e-09;-4.3542846e-08;;;
;;4.1149578e-09;-4.3542846e-08;;;
