-1.43600000E-5,6.81146198E-5
-1.43200000E-5,3.03185682E-5
-1.42800000E-5,3.25689918E-5
-1.42400000E-5,5.83222054E-5
-1.42000000E-5,1.82729646E-5
-1.41600000E-5,3.63749250E-5
-1.41200000E-5,1.25668065E-5
-1.40800000E-5,4.25325239E-5
-1.40400000E-5,3.00621156E-5
-1.40000000E-5,1.90196726E-5
-1.39600000E-5,1.23756807E-5
-1.39200000E-5,5.21274228E-5
-1.38800000E-5,3.12145643E-5
-1.38400000E-5,5.49051043E-5
-1.38000000E-5,1.05086344E-4
-1.37600000E-5,4.66862813E-5
-1.37200000E-5,2.82445934E-5
-1.36800000E-5,1.58251018E-5
-1.36400000E-5,6.10378028E-5
-1.36000000E-5,7.21805247E-5
-1.35600000E-5,5.33142896E-5
-1.35200000E-5,4.85882227E-5
-1.34800000E-5,2.86213711E-5
-1.34400000E-5,2.27680802E-5
-1.34000000E-5,1.99322722E-5
-1.33600000E-5,7.95767654E-5
-1.33200000E-5,4.20647180E-5
-1.32800000E-5,4.44059505E-5
-1.32400000E-5,3.21179229E-5
-1.32000000E-5,2.44682432E-5
-1.31600000E-5,3.19174510E-5
-1.31200000E-5,6.08503867E-5
-1.30800000E-5,7.97141613E-5
-1.30400000E-5,2.88026360E-5
-1.30000000E-5,-6.86815224E-6
-1.29600000E-5,3.97116600E-5
-1.29200000E-5,4.83548204E-5
-1.28800000E-5,3.06810217E-5
-1.28400000E-5,5.32712980E-5
-1.28000000E-5,2.92671803E-5
-1.27600000E-5,2.97661332E-5
-1.27200000E-5,4.00783648E-6
-1.26800000E-5,3.72424540E-5
-1.26400000E-5,4.23105467E-5
-1.26000000E-5,1.48507613E-5
-1.25600000E-5,2.35598302E-5
-1.25200000E-5,6.02266741E-5
-1.24800000E-5,4.64297143E-5
-1.24400000E-5,4.15393674E-5
-1.24000000E-5,5.21515317E-5
-1.23600000E-5,7.11778600E-5
-1.23200000E-5,4.69227925E-5
-1.22800000E-5,5.04539913E-5
-1.22400000E-5,4.66764680E-5
-1.22000000E-5,4.22881162E-5
-1.21600000E-5,2.57095934E-5
-1.21200000E-5,4.63832131E-5
-1.20800000E-5,5.07991642E-5
-1.20400000E-5,1.60492916E-5
-1.20000000E-5,7.17868860E-5
-1.19600000E-5,1.12283627E-5
