-1.43600000E-5,4.55512943E-5
-1.43200000E-5,3.60086950E-5
-1.42800000E-5,4.84765856E-5
-1.42400000E-5,6.37488988E-5
-1.42000000E-5,8.05339111E-5
-1.41600000E-5,8.69388074E-5
-1.41200000E-5,6.25770237E-5
-1.40800000E-5,3.52584775E-5
-1.40400000E-5,5.69262360E-5
-1.40000000E-5,5.58788249E-5
-1.39600000E-5,5.03201145E-5
-1.39200000E-5,6.21606304E-5
-1.38800000E-5,5.46536776E-5
-1.38400000E-5,5.86226033E-5
-1.38000000E-5,4.83082048E-5
-1.37600000E-5,5.02988475E-5
-1.37200000E-5,8.02436699E-5
-1.36800000E-5,7.52687321E-5
-1.36400000E-5,5.42791411E-5
-1.36000000E-5,6.11404277E-5
-1.35600000E-5,9.82986809E-5
-1.35200000E-5,7.98945488E-5
-1.34800000E-5,1.73479577E-5
-1.34400000E-5,3.65737089E-5
-1.34000000E-5,4.10912454E-5
-1.33600000E-5,5.72451542E-5
-1.33200000E-5,6.98221452E-5
-1.32800000E-5,4.49507370E-5
-1.32400000E-5,5.84668588E-5
-1.32000000E-5,6.70225959E-5
-1.31600000E-5,3.88480125E-5
-1.31200000E-5,7.93227351E-5
-1.30800000E-5,7.72061598E-5
-1.30400000E-5,4.91401999E-5
-1.30000000E-5,5.87178086E-5
-1.29600000E-5,5.80330323E-5
-1.29200000E-5,6.72445064E-5
-1.28800000E-5,7.63375818E-5
-1.28400000E-5,6.46930269E-5
-1.28000000E-5,5.45179602E-5
-1.27600000E-5,6.02702189E-5
-1.27200000E-5,6.14991237E-5
-1.26800000E-5,6.53761724E-5
-1.26400000E-5,3.95583855E-5
-1.26000000E-5,3.95205627E-5
-1.25600000E-5,7.02232606E-5
-1.25200000E-5,6.42310861E-5
-1.24800000E-5,7.19555910E-5
-1.24400000E-5,5.42510267E-5
-1.24000000E-5,7.36667022E-5
-1.23600000E-5,7.52246819E-5
-1.23200000E-5,3.32589084E-5
-1.22800000E-5,8.17221704E-5
-1.22400000E-5,4.60353508E-5
-1.22000000E-5,1.70298405E-5
-1.21600000E-5,4.55309143E-5
-1.21200000E-5,5.17661137E-5
-1.20800000E-5,3.32924778E-5
-1.20400000E-5,5.38865991E-5
-1.20000000E-5,6.29723503E-5
-1.19600000E-5,8.04539169E-5
-1.19200000E-5,4.15003812E-5
-1.18800000E-5,6.90877396E-5
-1.18400000E-5,5.74062012E-5
-1.18000000E-5,5.96013117E-5
-1.17600000E-5,6.72703319E-5
-1.17200000E-5,3.74859843E-5
-1.16800000E-5,9.13761684E-5
-1.16400000E-5,6.45613530E-5
-1.16000000E-5,6.48966554E-5
-1.15600000E-5,6.16391517E-5
-1.15200000E-5,7.35948142E-5
-1.14800000E-5,1.12740162E-4
-1.14400000E-5,5.30583806E-5
-1.14000000E-5,6.27732326E-5
-1.13600000E-5,7.75464594E-5
-1.13200000E-5,8.22699132E-5
