p1,p2,tilt
0.04,0.075,0.21798949811466103
0.04,0.0798611111,0.45266700518891756
0.04,0.0847222222,0.5454886618482753
0.04,0.0895833333,0.5306451896411704
0.04,0.0944444444,0.6788168244158831
0.04,0.0993055556,0.807440327162856
0.04,0.1041666667,0.8415271524418394
0.04,0.1090277778,0.8092531148106378
0.04,0.1138888889,0.9376918415733391
0.04,0.11875,0.8577853859088427
0.04,0.1236111111,0.7255986122499093
0.04,0.1284722222,0.8433328728105303
0.04,0.1333333333,0.7291177170593188
0.04,0.1381944444,0.6201531161602613
0.04,0.1430555556,0.6409448919554792
0.04,0.1479166667,0.51163401844684
0.04,0.1527777778,0.33908366207078255
0.04,0.1576388889,0.3564282755172755
0.04,0.1625,0.215982528074245
0.04,0.1673611111,0.11658624463865402
0.04,0.1722222222,0.05180319200978015
0.04,0.1770833333,0.11013835602012538
0.04,0.1819444444,0.16056570808737375
0.04,0.1868055556,0.4690998744744723
0.04,0.1916666667,0.34605845085144005
0.04,0.1965277778,0.6302553131420452
0.04,0.2013888889,0.8236262286033565
0.04,0.20625,0.8682549878236173
0.04,0.2111111111,0.9984961306258386
0.04,0.2159722222,1.0223855940658941
0.04,0.2208333333,1.2259517291606243
0.04,0.2256944444,1.3594897451439198
0.04,0.2305555556,1.5073317735082028
0.04,0.2354166667,1.6020416277420613
0.04,0.2402777778,1.6092411756370284
0.04,0.2451388889,1.850425086499461
0.04,0.25,1.9056451296070784
0.0416666667,0.075,0.11984965570367173
0.0416666667,0.0798611111,0.37105472894288805
0.0416666667,0.0847222222,0.46491225099864086
0.0416666667,0.0895833333,0.4711348405984356
0.0416666667,0.0944444444,0.6123864994050143
0.0416666667,0.0993055556,0.7715331559700838
0.0416666667,0.1041666667,0.8115096339030077
0.0416666667,0.1090277778,0.7497771286600748
0.0416666667,0.1138888889,0.9150370796983729
0.0416666667,0.11875,0.8311080914478736
0.0416666667,0.1236111111,0.6554024539928502
0.0416666667,0.1284722222,0.8207391325744365
0.0416666667,0.1333333333,0.7142832840184837
0.0416666667,0.1381944444,0.5374270608261876
0.0416666667,0.1430555556,0.626532828659407
0.0416666667,0.1479166667,0.5028748634716793
0.0416666667,0.1527777778,0.3335495759007394
0.0416666667,0.1576388889,0.3480274251456945
0.0416666667,0.1625,0.21182821892362666
0.0416666667,0.1673611111,0.10423151967888845
0.0416666667,0.1722222222,0.06266233267142611
0.0416666667,0.1770833333,0.07096163110437313
0.0416666667,0.1819444444,0.1726301946393246
0.0416666667,0.1868055556,0.48396219671294516
0.0416666667,0.1916666667,0.498455938178666
0.0416666667,0.1965277778,0.6375544430723957
0.0416666667,0.2013888889,0.8320212588111956
0.0416666667,0.20625,0.877185444134853
0.0416666667,0.2111111111,1.0085830410400851
0.0416666667,0.2159722222,1.0314493226389385
0.0416666667,0.2208333333,1.251522725400084
0.0416666667,0.2256944444,1.3738331188471682
0.0416666667,0.2305555556,1.5262065799687656
0.0416666667,0.2354166667,1.6088224933501296
0.0416666667,0.2402777778,1.6144818481422167
0.0416666667,0.2451388889,1.871250583923146
0.0416666667,0.25,1.913125225710536
0.0433333333,0.075,0.09643420227755842
0.0433333333,0.0798611111,0.26024759051305957
0.0433333333,0.0847222222,0.33974173841808103
0.0433333333,0.0895833333,0.31198140815054043
0.0433333333,0.0944444444,0.46961963741043844
0.0433333333,0.0993055556,0.601153113896739
0.0433333333,0.1041666667,0.6299464591685705
0.0433333333,0.1090277778,0.6621779458823541
0.0433333333,0.1138888889,0.7078565156486315
0.0433333333,0.11875,0.6246369489890032
0.0433333333,0.1236111111,0.5691167379027701
0.0433333333,0.1284722222,0.62350628163655
0.0433333333,0.1333333333,0.5578603316074888
0.0433333333,0.1381944444,0.35111237178111787
0.0433333333,0.1430555556,0.42923437815239096
0.0433333333,0.1479166667,0.3083229322241231
0.0433333333,0.1527777778,0.2094098242081135
0.0433333333,0.1576388889,0.15550521559585692
0.0433333333,0.1625,0.14565159342208053
0.0433333333,0.1673611111,0.030052951844809647
0.0433333333,0.1722222222,0.0667373137574954
0.0433333333,0.1770833333,0.0684311620958053
0.0433333333,0.1819444444,0.21695854522024002
0.0433333333,0.1868055556,0.5365490044728468
0.0433333333,0.1916666667,0.5299080033815132
0.0433333333,0.1965277778,0.6817634314260953
0.0433333333,0.2013888889,0.8763383541838244
0.0433333333,0.20625,0.9203723180983693
0.0433333333,0.2111111111,1.052468152341371
0.0433333333,0.2159722222,1.0619453730908806
0.0433333333,0.2208333333,1.270878485834994
0.0433333333,0.2256944444,1.389436288757147
0.0433333333,0.2305555556,1.5766299992522466
0.0433333333,0.2354166667,1.6329889678943499
0.0433333333,0.2402777778,1.759582120530466
0.0433333333,0.2451388889,1.920211122677661
0.0433333333,0.25,2.094046125014352
0.045,0.075,0.13042081412583556
0.045,0.0798611111,0.3919219163123213
0.045,0.0847222222,0.46711577366970275
0.045,0.0895833333,0.4298603028601737
0.045,0.0944444444,0.5915684908358285
0.045,0.0993055556,0.7150110699009997
0.045,0.1041666667,0.735913336280515
0.045,0.1090277778,0.7227860552434135
0.045,0.1138888889,0.8106801146499847
0.045,0.11875,0.7586015285452451
0.045,0.1236111111,0.6791080438628706
0.045,0.1284722222,0.7181873357331299
0.045,0.1333333333,0.6271698578769122
0.045,0.1381944444,0.4430918345981703
0.045,0.1430555556,0.5050645850608102
0.045,0.1479166667,0.3629370067083405
0.045,0.1527777778,0.1663429258319326
0.045,0.1576388889,0.2198016080747764
0.045,0.1625,0.036304570722014325
0.045,0.1673611111,0.15031787981604003
0.045,0.1722222222,0.1981006285174949
0.045,0.1770833333,0.23030684065485174
0.045,0.1819444444,0.48605495963865386
0.045,0.1868055556,0.691509641547345
0.045,0.1916666667,0.6822063375383078
0.045,0.1965277778,0.7249844540795044
0.045,0.2013888889,1.0336265348018903
0.045,0.20625,1.0746894838979337
0.045,0.2111111111,1.2042015782876998
0.045,0.2159722222,1.2686433061710622
0.045,0.2208333333,1.5966380403843248
0.045,0.2256944444,1.463648576246385
0.045,0.2305555556,1.7329408360838403
0.045,0.2354166667,1.794282589149592
0.045,0.2402777778,1.9732646008307322
0.045,0.2451388889,2.110203805270623
0.045,0.25,2.136394973422493
0.0466666667,0.075,0.12254345128292589
0.0466666667,0.0798611111,0.40225736026449005
0.0466666667,0.0847222222,0.49317067474087606
0.0466666667,0.0895833333,0.45619603658374236
0.0466666667,0.0944444444,0.6109018744569119
0.0466666667,0.0993055556,0.7588224415577564
0.0466666667,0.1041666667,0.7255716857558984
0.0466666667,0.1090277778,0.7553751923905337
0.0466666667,0.1138888889,0.8484422616864061
0.0466666667,0.11875,0.793893701726967
0.0466666667,0.1236111111,0.715273656253261
0.0466666667,0.1284722222,0.7514401556150535
0.0466666667,0.1333333333,0.6547667772578027
0.0466666667,0.1381944444,0.47392251499019744
0.0466666667,0.1430555556,0.5360345792273788
0.0466666667,0.1479166667,0.39391994997245244
0.0466666667,0.1527777778,0.1999889674756287
0.0466666667,0.1576388889,0.18853115316652436
0.0466666667,0.1625,0.056282258860312136
0.0466666667,0.1673611111,0.12265729774300961
0.0466666667,0.1722222222,0.1362663452989163
0.0466666667,0.1770833333,0.20811769650115652
0.0466666667,0.1819444444,0.46160451339503766
0.0466666667,0.1868055556,0.6706378715231124
0.0466666667,0.1916666667,0.6620325860076174
0.0466666667,0.1965277778,0.7049257081504908
0.0466666667,0.2013888889,1.0164772029201825
0.0466666667,0.20625,1.0582507164526425
0.0466666667,0.2111111111,1.1858672474713783
0.0466666667,0.2159722222,1.385813677678488
0.0466666667,0.2208333333,1.4361737149842786
0.0466666667,0.2256944444,1.4435217456932186
0.0466666667,0.2305555556,1.6119752386811033
0.0466666667,0.2354166667,1.9060364996150592
0.0466666667,0.2402777778,1.9606157047584085
0.0466666667,0.2451388889,2.144811769407725
0.0466666667,0.25,2.2087814402041936
