file,step_plateau_global_mean_nm,step_plateau_global_mean_err_nm,step_plateau_global_median_nm,step_column_mean_nm,step_column_mean_err_nm,step_column_weighted_mean_nm,step_column_weighted_mean_err_nm,n_plateau_low,n_plateau_high,n_good_columns,d_layer_spacing_nm
FP/STM/steps\12fa.top,0.1652074715015455,0.003524809223110182,0.18697295658523494,0.4990536475823813,0.0055210138081146125,0.4919124919567871,0.0036797958412664814,628,858,51,nan
FP/STM/steps\12fb.top,0.7312174849896885,0.002659125557188119,0.7271148941026748,0.822381753589053,0.00286508357409018,0.8242960534758764,0.0034624406776792615,911,1452,48,nan
FP/STM/steps\12fc.top,0.6649285149166578,0.0031012770990492392,0.654573602561617,0.808014554288723,0.0030071719130589825,0.8083659024248074,0.0023014127464459225,1820,2635,83,nan
FP/STM/steps\12fca.top,0.8124962525387274,0.0027475134051487466,0.8182457004885848,0.8214467820785339,0.0026569299681418034,0.818209225979043,0.0032148039442645862,720,996,36,nan
FP/STM/steps\12fcb.top,0.7513479219977776,0.0026183357966376654,0.7455683641215791,0.7993132900119942,0.002849375235817002,0.8013611624339176,0.0032623516332097157,862,1424,48,nan
FP/STM/steps\12fcd.top,0.25361996919859836,0.003233616626122462,0.25855151054550624,0.3337322776446822,0.013357648121312495,0.3133096301488073,0.0019166697590497063,522,590,21,nan
FP/STM/steps\12fce.top,0.17441780764271453,0.0038681822102345094,0.1791567359796034,0.2752848018902676,0.006655041916824547,0.29069875457378364,0.0021027338918875858,296,409,19,nan
FP/STM/steps\12fcf.top,0.22279584570996874,0.0031766507018113244,0.2518289839267658,0.641558141127429,0.006250043931472696,0.6284777613095395,0.003131234665354276,839,1327,64,nan
FP/STM/steps\12fcg.top,0.3919249997813393,0.003997724419177824,0.4102327643114379,0.46120098028256634,0.003911955157542188,0.46099240356344173,0.004104936590739835,651,312,27,nan
FP/STM/steps\12fch.top,0.26866497089663627,0.005009208132896131,0.2851156559665379,0.38563625286914127,0.006797685417114021,0.37912101336671356,0.004451927321767047,218,196,15,nan
FP/STM/steps\12fd.top,0.6870663621768548,0.002703097259610474,0.6953480337687425,0.8295519553595222,0.004007342567124002,0.8237408121829187,0.0030951442915667766,852,1709,67,nan
FP/STM/steps\12fe.top,1.1420663982187997,0.005072521166879959,1.1659672174125917,1.2548201929077627,0.006911737973419916,1.248043460854774,0.007472927313119867,945,552,45,nan
FP/STM/steps\12ff.top,0.6721293491354242,0.0021809235568171505,0.6908626269474609,0.7091557770341442,0.0023475356952712295,0.7113484703064863,0.0017502272986416744,4012,1280,143,nan
FP/STM/steps\12fz.top,0.13425316883790145,0.001224331660684813,0.13041370897115045,0.19968964486602164,0.002143211861780689,0.1941214302187546,0.0010588472889534004,1505,1191,118,nan
FP/STM/steps\13ba.top,1.0488602891531682,0.012506419845799603,1.1234046236841788,2.4672382073839865,0.04217545726615062,2.4356970234728545,0.00831636090938647,972,694,36,0.46830601577495345
FP/STM/steps\13bb.top,0.44000247854883534,0.00442294198663364,0.48040983983831237,0.9515702806686273,0.011456159660304109,0.893994205421503,0.003838967626420129,1918,1743,84,nan
FP/STM/steps\13fa.top,0.5140756834217483,0.005461163272693943,0.5167328497833017,0.8394722410202308,0.014594173238570167,0.7889946299991032,0.009014616332534033,1737,986,75,nan
FP/STM/steps\14ba.top,2.1601788772746566,0.004022021492624966,2.179413562810675,2.8501827592490856,0.055559946294302845,2.489933880055262,0.04010217046893596,3698,3218,80,nan
FP/STM/steps\14bb.top,1.1059395840062327,0.003391196877382213,1.1179139923603731,1.4090272161329709,0.008788128599962572,1.3967997683151483,0.009566741640430079,2941,2590,70,nan
FP/STM/steps\14bc.top,0.8460318723685462,0.00580206591900142,0.8544729884359155,1.8057060160448533,0.04736785655718377,1.503827990093182,0.020718470034341428,2261,3517,99,0.5495144298091944
FP/STM/steps\14bd.top,1.1777917544807446,0.0043831910233228105,1.2069609600151754,1.6252427876867028,0.010385884887719438,1.5942889655335086,0.01064260322242839,1938,1989,87,nan
FP/STM/steps\14be.top,0.3570233979401287,0.004395183325677241,0.3444059319246309,0.554049068108448,0.004723895580239259,0.5479348461540816,0.004224882601838182,475,853,7,nan
FP/STM/steps\14fa.top,0.7286387015943515,0.008118626422388225,0.7089239726192333,1.3632436622333735,0.01390991356314578,1.2976242000455513,0.017471840354694165,746,556,62,nan
FP/STM/steps\14fb.top,1.7655349071777535,0.0038433472842031506,1.8409553330401551,2.2857929959730336,0.035375709249647114,1.8878488096898394,0.013976251061395849,15008,11920,230,0.7020439011300614
FP/STM/steps\14fc.top,0.6442839080051451,0.006672485206540091,0.6632967710360942,0.7203888882122632,0.007252429230805006,0.6926400383541563,0.002045236992616378,491,424,21,nan
FP/STM/steps\14fd.top,1.09969330908257,0.0037313375315400884,1.102487748379044,1.51788412063936,0.009839540362980034,1.4327804985127568,0.00583404736657352,7271,8048,253,nan
FP/STM/steps\14fe.top,0.4284329443483144,0.003275268881112953,0.4358962903120241,0.5852028817434866,0.01686739149960257,0.5485622342126516,0.0027128963297161075,1948,1871,38,nan
FP/STM/steps\14ff.top,1.274618999358468,0.004046196284857212,1.2960622088872507,1.6485896426851034,0.014884302943639497,1.5752465996279335,0.012637342587103261,2391,2965,102,nan
FP/STM/steps\14fg.top,1.4548856788553473,0.005129306414403002,1.529153639079956,1.6041708901400016,0.01044565432321806,1.5843138330651265,0.008435928898784528,1809,1644,82,nan
FP/STM/steps\15ba.top,0.6641937041939424,0.005199337397000302,0.6476074257541964,0.7262350990119163,0.008557274130970734,0.7093245036317251,0.006024593062376021,1063,1242,63,nan
FP/STM/steps\15fa.top,1.714817825606804,0.004162945960086182,1.7294392915580015,1.7179799669325777,0.0064960011612230405,1.7301229048638962,0.0029192761585793096,819,824,51,nan
FP/STM/steps\15fb.top,0.52143611879815,0.00530923176618077,0.48140401212019046,0.779998436143937,0.023730355141402194,0.8345831029555293,0.0039033906030896156,1303,1529,58,0.38696663594754277
FP/STM/steps\2ba.top,2.7187493023398694,0.00628959164235736,2.7059006975826367,2.556726608332805,0.022373695300196082,2.470958157752125,0.005809529222689582,4752,7774,189,0.44211685677274515
FP/STM/steps\3fa.top,2.8977826059389553,0.016150271694881993,2.949408083124873,3.1456255811077045,0.035954934875388526,3.1105406801599207,0.02414770832104505,582,1123,43,0.5039349596952949
FP/STM/steps\5fa.top,3.7553599100332247,0.014711978206164456,3.71385450095251,4.664515361353128,0.06421569035981477,4.444996760141114,0.015435227959153258,2858,3135,160,1.3503375926887249
FP/STM/steps\5faa.top,1.0249102495718059,0.007095259183978011,1.0258227230596748,1.1401887701976412,0.019272452323949817,1.1343635282938946,0.006277006075906221,1186,1947,120,0.2645666912728442
FP/STM/steps\6bc.top,0.7053051914697641,0.008327295326731458,0.7074505049113425,0.7416924772317245,0.009005041547184296,0.7428373124948063,0.01169606868816075,380,792,48,nan
FP/STM/steps\6fa.top,1.2750013102676638,0.007819512496708364,1.234544473906889,1.4518373559877464,0.025167827212405337,1.5024262155227888,0.011351210787991227,3465,1982,93,0.43039046407577475
FP/STM/steps\6fb.top,2.246138589972424,0.007056363793492867,2.2429777994341875,0.9225638566063638,0.10134191958479401,0.6999448905115165,0.013899006906625261,1784,1634,72,1.2108613115304294
FP/STM/steps\8fa.top,1.5318070626082207,0.013403331148694906,1.5204161782854329,1.3019444061285927,0.019612820253073995,1.3667390897816536,0.013658847244351529,748,872,59,nan
FP/STM/steps\8fb.top,2.388847291894942,0.018408002160264003,2.512046413668818,2.9250584100771166,0.04673414160093683,3.04871490968063,0.012371794984719884,2426,3164,132,1.04285621634533
FP/STM/steps\8fc.top,1.9246786411465382,0.025146246625134084,1.8687334975444294,5.925530338501986,0.2811665605447441,2.791189516820977,0.0816106032244195,1487,1690,101,3.2147540954855534
FP/STM/steps\8fca.top,2.7047307731109234,0.026282840397585317,2.7110823566697606,3.655979902436649,0.03155877085685397,3.704555545360314,0.023615034414057788,790,548,99,0.5530848003046271
